class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
OrderActionBean,0.15294117647058825,0.011764705882352941,0.1411764705882353,1,12,13,0.004901960784313725,0.004901960784313725,0.011764705882352941,0.0022808220279068796,0.012110123874940966,0.002012409939571417,0.00018626056207228688,0.10547210584915169,0.004901960784313725,1.0,0.010771915392630362,20,0.19861688309307954,33.0,8.8
Collections,0.03529411764705882,0.03529411764705882,0.0,3,0,3,0.0,0.0,0.0795131845841785,5.1853821073801e-05,0.007859047994356865,-0.0,3.235978017335923e-05,0.10764515182307487,0.0,7.833333333333333,0.005723212580584967,1,0.42234275976213775,0.0,1.2
AbstractActionBean,0.10588235294117647,0.047058823529411764,0.058823529411764705,4,5,9,0.0032212885154061623,0.0032212885154061623,0.06274509803921569,0.0012113482791082006,0.010670967840032132,0.0011334388550728353,0.0002249324332931823,0.1086678062285534,0.0032212885154061623,6.0,0.008785414743696441,10,0.14089916770248279,6.5,8.0
ActionBean,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.0453781512605042,3.588127902492919e-05,0.009353858060963323,-0.0,3.0879555450843144e-05,0.10551450563570304,0.0,4.333333333333334,0.0,0,1.0,0.0,1.5
SimpleMessage,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.0453781512605042,2.392085268328613e-05,0.008656126539009027,-0.0,2.058637030056231e-05,0.10551450563570304,0.0,4.333333333333334,0.0,0,1.0,0.0,1.0
HttpSession,0.023529411764705882,0.023529411764705882,0.0,2,0,2,0.0,0.0,0.03137254901960784,0.0002589839880845317,0.009371189076706855,-0.0,0.00020416165437278714,0.10654781690098544,0.0,3.0,0.054510202026349264,1,0.7423420254822904,0.0,6.0
ForwardResolution,0.047058823529411764,0.047058823529411764,0.0,4,0,4,0.0,0.0,0.06274509803921569,0.001180513560467129,0.01844847456072192,-0.0,0.0008260386112541553,0.1086678062285534,0.0,6.0,0.03641032099751142,2,0.323255079370045,0.0,28.0
RedirectResolution,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.023529411764705882,0.0001421315643117761,0.009305494789892258,-0.0,9.572436371007162e-05,0.10549309584249393,0.0,2.3333333333333335,0.0,0,1.0,0.0,4.0
Arrays,0.023529411764705882,0.023529411764705882,0.0,2,0,2,0.0,0.0,0.03137254901960784,3.484126707120385e-05,0.007660955451392262,-0.0,2.5323926135246087e-05,0.10654781690098544,0.0,3.0,0.017169637741754902,1,0.6397204617993562,0.0,0.8999999999999999
HttpServletRequest,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.023529411764705882,4.4058719892664005e-05,0.007699713605449373,-0.0,3.1739923307898e-05,0.10549309584249393,0.0,2.333333333333333,0.0,0,1.0,0.0,1.2
MavenWrapperDownloader,0.1411764705882353,0.0,0.1411764705882353,0,12,12,0.0,0.0,0.0,0.0006220297449432931,0.007260663495100433,0.0008108290455139002,-0.0,0.10442782757341751,0.0,0.0,0.0,0,0.1362670068027211,16.8,0.0
URL,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.432667730377757e-05,0.008289336909006,-0.0,4.123528617246156e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,2.8
Path,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,5.271596871651555e-05,0.008840411952169697,-0.0,6.332561805057575e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,4.3
InputStream,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.4711433130190385e-05,0.007701523529631391,-0.0,1.7672265502483676e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
ASF,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,4.903811043396796e-06,0.007407616839944085,-0.0,5.89075516749509e-06,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.4
IOException,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.225952760849199e-05,0.007628046857209564,-0.0,1.472688791873831e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.0
Authenticator,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.5937385891039585e-05,0.007738261865842303,-0.0,1.9144954294358675e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.3
PasswordAuthentication,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.225952760849199e-05,0.007628046857209564,-0.0,1.472688791873831e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.0
URI,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.6778582825475963e-06,0.007370878503733172,-0.0,4.418066375620741e-06,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.3
ThreadLocalRandom,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.6778582825475963e-06,0.007370878503733172,-0.0,4.418066375620741e-06,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.3
Files,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,1.1033574847642788e-05,0.007591308520998651,-0.0,1.3254199126863352e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,0.8999999999999999
